Time (s),GPU Power (W),CPU Power (W),Total Power (W),Average Power (W),GPU Memory Used (GB)
60.9425,52.58,38.3532,90,83,0.204102
61.0885,52.58,30.205,82,83,0.204102
61.2219,52.58,39.7094,91,83,0.204102
61.4449,52.58,52.2392,104,83,0.204102
61.5925,52.58,78.5887,130,83,0.204102
61.7279,52.58,39.2901,91,83,0.204102
61.8859,32.24,38.5808,70,83,0.204102
62.0395,32.24,32.7239,64,83,0.204102
62.1937,32.24,27.9833,59,83,0.204102
62.3373,32.24,31.8297,63,83,0.204102
62.6942,32.24,30.6127,62,83,0.204102
62.8366,32.24,124.338,156,83,0.204102
62.9818,23.67,34.97,57,83,0.204102
63.1289,23.67,36.4355,59,83,0.204102
63.2726,23.67,31.0571,54,83,0.204102
63.4219,23.67,33.2366,56,83,0.204102
63.5769,23.67,37.0806,60,83,0.204102
63.8869,23.67,30.8947,53,83,0.204102
64.0295,22.36,151.873,173,83,0.204102
64.1929,31.07,39.6691,70,83,0.204102
64.3454,32.19,34.6013,66,83,0.204102
64.4899,32.65,43.4002,75,83,0.204102
64.6253,33.05,49.3804,82,83,0.204102
64.764,33.72,57.8288,90,83,0.204102
65.053,34.01,37.3766,71,83,0.204102
65.1955,38.71,99.979,137,83,0.204102
65.3318,38.71,29.3908,67,83,0.204102
65.4788,38.71,68.2628,106,83,0.204102
65.6135,38.71,77.7592,115,83,0.204102
65.7494,38.71,73.0247,111,83,0.204102
65.898,38.71,54.7179,92,83,0.204102
66.0498,47.28,30.5846,77,83,0.204102
66.2322,47.28,63.8261,110,83,0.204102
66.3645,47.28,85.8488,132,83,0.204102
66.511,47.28,51.5001,98,83,0.204102
66.6471,47.28,54.9559,101,83,0.204102
66.7885,47.28,53.5106,100,83,0.204102
66.9208,47.28,53.0675,100,83,0.204102
67.0772,48.09,53.1072,101,83,0.204102
67.2354,48.09,35.1195,83,83,0.204102
67.4476,48.09,60.5272,108,83,0.204102
67.5913,48.09,112.401,160,84,0.204102
67.7338,48.09,45.5614,93,84,0.204102
67.8699,48.09,59.5781,107,84,0.204102
68.0065,48.09,64.4334,112,84,0.204102
68.1618,18.78,32.1362,50,84,0.204102
68.326,18.78,35.8996,53,84,0.204102
68.714,18.78,34.9651,52,84,0.204102
68.8796,18.78,174.352,192,84,0.204102
69.0326,18.74,34.6361,52,84,0.204102
69.1743,18.74,31.3964,49,84,0.204102
69.3328,18.74,46.7424,64,84,0.204102
69.4759,18.74,34.4896,52,83,0.204102
69.6306,18.74,32.8448,50,83,0.204102
69.9321,18.74,30.5419,48,83,0.204102
70.0732,24.96,103.355,127,83,0.204102
70.2194,24.96,29.9419,53,83,0.204102
70.3649,24.96,32.6678,56,83,0.204102
70.5063,24.96,45.6633,69,83,0.204102
70.644,24.96,31.0424,55,83,0.204102
70.7983,24.96,34.5464,58,83,0.204102
71.0746,24.96,32.9382,56,83,0.204102
71.2304,36.5,102.981,138,83,0.204102
71.3712,43.67,31.3933,74,83,0.204102
71.5046,44.29,37.8655,81,83,0.204102
71.6463,45.28,35.4888,80,83,0.204102
71.7993,45.69,31.0436,76,83,0.204102
71.938,46.38,31.6784,77,83,0.204102
